evt1; evt2; station; channel; dtP; dtS; dtPerr; dtSerr
event_000; event_003; STA05; HHZ; -1637047.586548686; -1637047.553586483; 0.0; 0.0
event_000; event_003; STA06; HHZ; -1637052.5202180147; -1637052.4387017488; 0.0; 0.0
event_000; event_003; STA07; HHZ; -1637057.1648677588; -1637057.0158666372; 0.0; 0.0
event_000; event_003; STA08; HHZ; -1637052.646252513; -1637052.6569936275; 0.0; 0.0
event_000; event_003; STA09; HHZ; -1637052.3851206303; -1637052.2047132254; 0.0; 0.0
event_000; event_003; STA10; HHZ; -1637052.6368249655; -1637052.6406650543; 0.0; 0.0
event_000; event_003; STA11; HHZ; -1637052.8907629251; -1637053.0804857016; 0.0; 0.0
event_000; event_003; STA12; HHZ; -1637052.3728913069; -1637052.1835319996; 0.0; 0.0
event_000; event_003; STA13; HHZ; -1637052.614652276; -1637052.602261901; 0.0; 0.0
event_000; event_003; STA14; HHZ; -1637052.9131599665; -1637053.1192772388; 0.0; 0.0
event_000; event_004; STA00; HHZ; -2182736.507151842; -2182736.26196599; 0.0; 0.0
event_000; event_004; STA01; HHZ; -2182736.4276041985; -2182736.124189377; 0.0; 0.0
event_000; event_004; STA02; HHZ; -2182741.2565784454; -2182741.004037857; 0.0; 0.0
event_000; event_004; STA03; HHZ; -2182736.942039609; -2182737.015191555; 0.0; 0.0
event_000; event_004; STA04; HHZ; -2182736.8242206573; -2182736.811128974; 0.0; 0.0
event_000; event_004; STA05; HHZ; -2182730.2717164755; -2182730.342191696; 0.0; 0.0
event_000; event_004; STA06; HHZ; -2182736.5214613676; -2182736.286749959; 0.0; 0.0
event_000; event_004; STA07; HHZ; -2182742.751000762; -2182742.4531543255; 0.0; 0.0
event_000; event_004; STA08; HHZ; -2182736.6783356667; -2182736.5584563017; 0.0; 0.0
event_000; event_004; STA09; HHZ; -2182736.428256154; -2182736.1253186464; 0.0; 0.0
event_000; event_004; STA10; HHZ; -2182736.68131423; -2182736.5636149645; 0.0; 0.0
event_000; event_004; STA11; HHZ; -2182737.2050583363; -2182737.4707398415; 0.0; 0.0
event_000; event_004; STA12; HHZ; -2182736.5577272177; -2182736.3495624065; 0.0; 0.0
event_000; event_004; STA13; HHZ; -2182736.6416437626; -2182736.4949059486; 0.0; 0.0
event_000; event_004; STA14; HHZ; -2182737.2149863243; -2182737.4879351854; 0.0; 0.0
event_000; event_005; STA00; HHZ; -2728420.935906768; -2728420.850464225; 0.0; 0.0
event_000; event_005; STA01; HHZ; -2728420.7925913334; -2728420.6022417545; 0.0; 0.0
event_000; event_005; STA02; HHZ; -2728419.125926733; -2728418.92041111; 0.0; 0.0
event_000; event_005; STA03; HHZ; -2728420.970208168; -2728420.909874201; 0.0; 0.0
event_000; event_005; STA04; HHZ; -2728421.12479949; -2728421.177626252; 0.0; 0.0
event_000; event_005; STA05; HHZ; -2728412.634000063; -2728412.5715618134; 0.0; 0.0
event_000; event_005; STA06; HHZ; -2728420.9550300837; -2728420.8835856915; 0.0; 0.0
event_000; event_005; STA07; HHZ; -2728428.757584572; -2728428.618662715; 0.0; 0.0
event_000; event_005; STA08; HHZ; -2728421.064680457; -2728421.0735001564; 0.0; 0.0
event_000; event_005; STA09; HHZ; -2728420.8328404427; -2728420.6719532013; 0.0; 0.0
event_000; event_005; STA10; HHZ; -2728421.0149742365; -2728420.9874088764; 0.0; 0.0
event_000; event_005; STA11; HHZ; -2728421.255722046; -2728421.4043842554; 0.0; 0.0
event_000; event_005; STA12; HHZ; -2728420.7779296637; -2728420.5768477917; 0.0; 0.0
event_000; event_005; STA13; HHZ; -2728421.051047325; -2728421.049887657; 0.0; 0.0
event_000; event_005; STA14; HHZ; -2728421.2896250486; -2728421.4631040096; 0.0; 0.0
event_000; event_006; STA00; HHZ; -3274105.229499221; -3274105.204861164; 0.0; 0.0
event_000; event_006; STA01; HHZ; -3274105.3321062326; -3274105.382576585; 0.0; 0.0
event_000; event_006; STA02; HHZ; -3274098.0095402002; -3274098.0853910446; 0.0; 0.0
event_000; event_006; STA03; HHZ; -3274105.400912285; -3274105.501748562; 0.0; 0.0
event_000; event_006; STA04; HHZ; -3274105.146605015; -3274105.061288357; 0.0; 0.0
event_000; event_006; STA05; HHZ; -3274095.4014616013; -3274095.502699852; 0.0; 0.0
event_000; event_006; STA06; HHZ; -3274105.211291313; -3274105.173325062; 0.0; 0.0
event_000; event_006; STA07; HHZ; -3274114.7452095747; -3274114.751334548; 0.0; 0.0
event_000; event_006; STA08; HHZ; -3274105.1567605734; -3274105.0788776875; 0.0; 0.0
event_000; event_006; STA09; HHZ; -3274105.2947688103; -3274105.3179080486; 0.0; 0.0
event_000; event_006; STA10; HHZ; -3274105.212185979; -3274105.174874544; 0.0; 0.0
event_000; event_006; STA11; HHZ; -3274105.2273831367; -3274105.2011959553; 0.0; 0.0
event_000; event_006; STA12; HHZ; -3274105.3914909363; -3274105.4854308367; 0.0; 0.0
event_000; event_006; STA13; HHZ; -3274105.1576002836; -3274105.080332041; 0.0; 0.0
event_000; event_006; STA14; HHZ; -3274105.1922320127; -3274105.1403142214; 0.0; 0.0
event_000; event_007; STA00; HHZ; -3819789.6552331448; -3819789.7881269455; 0.0; 0.0
event_000; event_007; STA01; HHZ; -3819789.468375087; -3819789.464488864; 0.0; 0.0
event_000; event_007; STA02; HHZ; -3819779.4438539743; -3819779.3970166445; 0.0; 0.0
event_000; event_007; STA03; HHZ; -3819789.2209507227; -3819789.035949707; 0.0; 0.0
event_000; event_007; STA04; HHZ; -3819789.7530003786; -3819789.9574598074; 0.0; 0.0
event_000; event_007; STA05; HHZ; -3819777.5550967455; -3819777.370690465; 0.0; 0.0
event_000; event_007; STA06; HHZ; -3819789.6619434357; -3819789.799749255; 0.0; 0.0
event_000; event_007; STA07; HHZ; -3819800.6266037226; -3819800.700014353; 0.0; 0.0
event_000; event_007; STA08; HHZ; -3819789.734881878; -3819789.926078677; 0.0; 0.0
event_000; event_007; STA09; HHZ; -3819789.5093271732; -3819789.5354179144; 0.0; 0.0
event_000; event_007; STA10; HHZ; -3819789.702768564; -3819789.8704582453; 0.0; 0.0
event_000; event_007; STA11; HHZ; -3819789.536882043; -3819789.5831428766; 0.0; 0.0
event_000; event_007; STA12; HHZ; -3819789.3255620003; -3819789.2171365023; 0.0; 0.0
event_000; event_007; STA13; HHZ; -3819789.721540332; -3819789.9029710293; 0.0; 0.0
event_000; event_007; STA14; HHZ; -3819789.5733702183; -3819789.646340251; 0.0; 0.0
event_000; event_008; STA00; HHZ; -4365473.3190796375; -4365473.051803827; 0.0; 0.0
event_000; event_008; STA01; HHZ; -4365473.45129323; -4365473.28079772; 0.0; 0.0
event_000; event_008; STA02; HHZ; -4365465.201793313; -4365465.120722413; 0.0; 0.0
event_000; event_008; STA03; HHZ; -4365473.956161022; -4365474.155228734; 0.0; 0.0
event_000; event_008; STA04; HHZ; -4365473.482811213; -4365473.335386753; 0.0; 0.0
event_000; event_008; STA05; HHZ; -4365460.619875431; -4365460.816782117; 0.0; 0.0
event_000; event_008; STA06; HHZ; -4365473.309053659; -4365473.034438729; 0.0; 0.0
event_000; event_008; STA07; HHZ; -4365485.975460529; -4365485.726339698; 0.0; 0.0
event_000; event_008; STA08; HHZ; -4365473.358209491; -4365473.119576693; 0.0; 0.0
event_000; event_008; STA09; HHZ; -4365473.372951388; -4365473.1451096535; 0.0; 0.0
event_000; event_008; STA10; HHZ; -4365473.427296519; -4365473.239235401; 0.0; 0.0
event_000; event_008; STA11; HHZ; -4365473.962134242; -4365474.165574312; 0.0; 0.0
event_000; event_008; STA12; HHZ; -4365473.6422582865; -4365473.611549139; 0.0; 0.0
event_000; event_008; STA13; HHZ; -4365473.341410518; -4365473.090480924; 0.0; 0.0
event_000; event_008; STA14; HHZ; -4365473.922136426; -4365474.096298099; 0.0; 0.0
event_000; event_009; STA00; HHZ; -4911157.903827667; -4911157.910482168; 0.0; 0.0
event_000; event_009; STA01; HHZ; -4911157.90355444; -4911157.9100090265; 0.0; 0.0
event_000; event_009; STA02; HHZ; -4911154.649222255; -4911154.650305629; 0.0; 0.0
event_000; event_009; STA03; HHZ; -4911157.878841877; -4911157.867206693; 0.0; 0.0
event_000; event_009; STA04; HHZ; -4911157.891008973; -4911157.888280034; 0.0; 0.0
event_000; event_009; STA05; HHZ; -4911142.878779411; -4911142.867098451; 0.0; 0.0
event_000; event_009; STA06; HHZ; -4911157.907747507; -4911157.917271137; 0.0; 0.0
event_000; event_009; STA07; HHZ; -4911172.117965937; -4911172.127264261; 0.0; 0.0
event_000; event_009; STA08; HHZ; -4911157.90218401; -4911157.907635331; 0.0; 0.0
event_000; event_009; STA09; HHZ; -4911157.910159111; -4911157.9214481115; 0.0; 0.0
event_000; event_009; STA10; HHZ; -4911157.891862512; -4911157.889758468; 0.0; 0.0
event_000; event_009; STA11; HHZ; -4911157.870233655; -4911157.852297187; 0.0; 0.0
event_000; event_009; STA12; HHZ; -4911157.8953716755; -4911157.895836353; 0.0; 0.0
event_000; event_009; STA13; HHZ; -4911157.907131553; -4911157.916204333; 0.0; 0.0
event_000; event_009; STA14; HHZ; -4911157.875051498; -4911157.860641718; 0.0; 0.0
event_000; event_010; STA00; HHZ; -5456841.811809421; -5456841.597001433; 0.0; 0.0
event_000; event_010; STA01; HHZ; -5456841.869494438; -5456841.696911812; 0.0; 0.0
event_000; event_010; STA02; HHZ; -5456845.199059606; -5456845.086918354; 0.0; 0.0
event_000; event_010; STA03; HHZ; -5456842.281834602; -5456842.41108501; 0.0; 0.0
event_000; event_010; STA04; HHZ; -5456841.970453978; -5456841.871773601; 0.0; 0.0
event_000; event_010; STA05; HHZ; -5456862.279067993; -5456862.406293035; 0.0; 0.0
event_000; event_010; STA06; HHZ; -5456841.81207788; -5456841.59746623; 0.0; 0.0
event_000; event_010; STA07; HHZ; -5456857.600886583; -5456857.385788202; 0.0; 0.0
event_000; event_010; STA08; HHZ; -5456841.874516845; -5456841.705610514; 0.0; 0.0
event_000; event_010; STA09; HHZ; -5456841.827648401; -5456841.624434352; 0.0; 0.0
event_000; event_010; STA10; HHZ; -5456841.897443771; -5456841.7453199625; 0.0; 0.0
event_000; event_010; STA11; HHZ; -5456842.3467594385; -5456842.523534775; 0.0; 0.0
event_000; event_010; STA12; HHZ; -5456842.0075393915; -5456841.936005592; 0.0; 0.0
event_000; event_010; STA13; HHZ; -5456841.859339237; -5456841.679323077; 0.0; 0.0
event_000; event_010; STA14; HHZ; -5456842.327727914; -5456842.490572095; 0.0; 0.0
event_000; event_011; STA00; HHZ; -6002526.039142489; -6002525.83663702; 0.0; 0.0
event_000; event_011; STA01; HHZ; -6002525.873898983; -6002525.550435185; 0.0; 0.0
event_000; event_011; STA02; HHZ; -6002534.337781668; -6002534.081821203; 0.0; 0.0
event_000; event_011; STA03; HHZ; -6002526.412166357; -6002526.482714295; 0.0; 0.0
event_000; event_011; STA04; HHZ; -6002526.419278145; -6002526.495031834; 0.0; 0.0
event_000; event_011; STA05; HHZ; -6002544.187403917; -6002544.25609231; 0.0; 0.0
event_000; event_011; STA06; HHZ; -6002526.021496773; -6002525.8060745; 0.0; 0.0
event_000; event_011; STA07; HHZ; -6002543.272353888; -6002542.970874786; 0.0; 0.0
event_000; event_011; STA08; HHZ; -6002526.227551341; -6002526.162961006; 0.0; 0.0
event_000; event_011; STA09; HHZ; -6002525.856264234; -6002525.519891858; 0.0; 0.0
event_000; event_011; STA10; HHZ; -6002526.291960955; -6002526.274518371; 0.0; 0.0
event_000; event_011; STA11; HHZ; -6002526.771217942; -6002527.104591489; 0.0; 0.0
event_000; event_011; STA12; HHZ; -6002525.997482061; -6002525.764481068; 0.0; 0.0
event_000; event_011; STA13; HHZ; -6002526.154695153; -6002526.036774039; 0.0; 0.0
event_000; event_011; STA14; HHZ; -6002526.780043602; -6002527.119877577; 0.0; 0.0
event_000; event_012; STA00; HHZ; -6548210.1413446665; -6548209.859545827; 0.0; 0.0
event_000; event_012; STA01; HHZ; -6548210.025180936; -6548209.65835011; 0.0; 0.0
event_000; event_012; STA02; HHZ; -6548220.07923615; -6548219.776975274; 0.0; 0.0
event_000; event_012; STA03; HHZ; -6548210.6419091225; -6548210.72652328; 0.0; 0.0
event_000; event_012; STA04; HHZ; -6548210.537043095; -6548210.544895411; 0.0; 0.0
event_000; event_012; STA05; HHZ; -6548226.193551898; -6548226.275301814; 0.0; 0.0
event_000; event_012; STA06; HHZ; -6548210.155825019; -6548209.8846257925; 0.0; 0.0
event_000; event_012; STA07; HHZ; -6548228.988978744; -6548228.634174228; 0.0; 0.0
event_000; event_012; STA08; HHZ; -6548210.354371309; -6548210.228507876; 0.0; 0.0
event_000; event_012; STA09; HHZ; -6548210.0314382315; -6548209.669187784; 0.0; 0.0
event_000; event_012; STA10; HHZ; -6548210.376319647; -6548210.266522288; 0.0; 0.0
event_000; event_012; STA11; HHZ; -6548210.961075783; -6548211.279320002; 0.0; 0.0
event_000; event_012; STA12; HHZ; -6548210.186383009; -6548209.937552094; 0.0; 0.0
event_000; event_012; STA13; HHZ; -6548210.302729726; -6548210.139064789; 0.0; 0.0
event_000; event_012; STA14; HHZ; -6548210.974042416; -6548211.3017783165; 0.0; 0.0
event_000; event_013; STA00; HHZ; -7093894.812362313; -7093894.867642999; 0.0; 0.0
event_000; event_013; STA01; HHZ; -7093894.748283744; -7093894.756659031; 0.0; 0.0
event_000; event_013; STA02; HHZ; -7093902.092297316; -7093902.090991378; 0.0; 0.0
event_000; event_013; STA03; HHZ; -7093894.666862845; -7093894.615638018; 0.0; 0.0
event_000; event_013; STA04; HHZ; -7093894.854059577; -7093894.939862728; 0.0; 0.0
event_000; event_013; STA05; HHZ; -7093908.001116753; -7093907.950565577; 0.0; 0.0
event_000; event_013; STA06; HHZ; -7093894.808451533; -7093894.860869408; 0.0; 0.0
event_000; event_013; STA07; HHZ; -7093915.306677818; -7093915.338534355; 0.0; 0.0
event_000; event_013; STA08; HHZ; -7093894.8365290165; -7093894.909499884; 0.0; 0.0
event_000; event_013; STA09; HHZ; -7093894.754669905; -7093894.767719865; 0.0; 0.0
event_000; event_013; STA10; HHZ; -7093894.841343164; -7093894.917837739; 0.0; 0.0
event_000; event_013; STA11; HHZ; -7093894.767101526; -7093894.7892513275; 0.0; 0.0
event_000; event_013; STA12; HHZ; -7093894.705750704; -7093894.682991743; 0.0; 0.0
event_000; event_013; STA13; HHZ; -7093894.824113011; -7093894.887995243; 0.0; 0.0
event_000; event_013; STA14; HHZ; -7093894.773352265; -7093894.800077438; 0.0; 0.0
event_000; event_014; STA00; HHZ; -7639579.025167227; -7639579.082115889; 0.0; 0.0
event_000; event_014; STA01; HHZ; -7639578.799538016; -7639578.691326141; 0.0; 0.0
event_000; event_014; STA02; HHZ; -7639580.343542457; -7639580.160709381; 0.0; 0.0
event_000; event_014; STA03; HHZ; -7639578.639168739; -7639578.41356647; 0.0; 0.0
event_000; event_014; STA04; HHZ; -7639579.155933499; -7639579.308603048; 0.0; 0.0
event_000; event_014; STA05; HHZ; -7639589.7471882105; -7639589.519322991; 0.0; 0.0
event_000; event_014; STA06; HHZ; -7639579.058403373; -7639579.139680862; 0.0; 0.0
event_000; event_014; STA07; HHZ; -7639601.044050455; -7639601.037769079; 0.0; 0.0
event_000; event_014; STA08; HHZ; -7639579.152127624; -7639579.302011371; 0.0; 0.0
event_000; event_014; STA09; HHZ; -7639578.886069059; -7639578.8411979675; 0.0; 0.0
event_000; event_014; STA10; HHZ; -7639579.056715846; -7639579.136758089; 0.0; 0.0
event_000; event_014; STA11; HHZ; -7639579.023182988; -7639579.078679323; 0.0; 0.0
event_000; event_014; STA12; HHZ; -7639578.637887716; -7639578.411347747; 0.0; 0.0
event_000; event_014; STA13; HHZ; -7639579.158438921; -7639579.312942505; 0.0; 0.0
event_000; event_014; STA14; HHZ; -7639579.092346549; -7639579.198470473; 0.0; 0.0
event_000; event_015; STA00; HHZ; -8185263.044824362; -8185262.962056875; 0.0; 0.0
event_000; event_015; STA01; HHZ; -8185262.818642616; -8185262.570310116; 0.0; 0.0
event_000; event_015; STA02; HHZ; -8185258.056054115; -8185257.805441499; 0.0; 0.0
event_000; event_015; STA03; HHZ; -8185263.077280045; -8185263.018270135; 0.0; 0.0
event_000; event_015; STA04; HHZ; -8185263.327889442; -8185263.452325463; 0.0; 0.0
event_000; event_015; STA05; HHZ; -8185271.963827968; -8185271.9031044245; 0.0; 0.0
event_000; event_015; STA06; HHZ; -8185263.045800209; -8185262.963746905; 0.0; 0.0
event_000; event_015; STA07; HHZ; -8185286.599317789; -8185286.421597362; 0.0; 0.0
event_000; event_015; STA08; HHZ; -8185263.213892341; -8185263.254882693; 0.0; 0.0
event_000; event_015; STA09; HHZ; -8185262.849636674; -8185262.623991847; 0.0; 0.0
event_000; event_015; STA10; HHZ; -8185263.205047965; -8185263.239563942; 0.0; 0.0
event_000; event_015; STA11; HHZ; -8185263.489175677; -8185263.73167336; 0.0; 0.0
event_000; event_015; STA12; HHZ; -8185262.805228829; -8185262.547077298; 0.0; 0.0
event_000; event_015; STA13; HHZ; -8185263.169780612; -8185263.178481102; 0.0; 0.0
event_000; event_015; STA14; HHZ; -8185263.522352457; -8185263.789135456; 0.0; 0.0
event_000; event_016; STA00; HHZ; -8730947.45417869; -8730947.51695335; 0.0; 0.0
event_000; event_016; STA01; HHZ; -8730947.459851027; -8730947.526777744; 0.0; 0.0
event_000; event_016; STA02; HHZ; -8730938.255577326; -8730938.288436413; 0.0; 0.0
event_000; event_016; STA03; HHZ; -8730947.26460278; -8730947.188607693; 0.0; 0.0
event_000; event_016; STA04; HHZ; -8730947.354994655; -8730947.345166445; 0.0; 0.0
event_000; event_016; STA05; HHZ; -8730953.931327462; -8730953.855374813; 0.0; 0.0
event_000; event_016; STA06; HHZ; -8730947.476082087; -8730947.554889917; 0.0; 0.0
event_000; event_016; STA07; HHZ; -8730972.744042516; -8730972.826365829; 0.0; 0.0
event_000; event_016; STA08; HHZ; -8730947.431395054; -8730947.477492094; 0.0; 0.0
event_000; event_016; STA09; HHZ; -8730947.499682784; -8730947.595766306; 0.0; 0.0
event_000; event_016; STA10; HHZ; -8730947.375430465; -8730947.380561233; 0.0; 0.0
event_000; event_016; STA11; HHZ; -8730947.173075676; -8730947.030082822; 0.0; 0.0
event_000; event_016; STA12; HHZ; -8730947.404276967; -8730947.430523515; 0.0; 0.0
event_000; event_016; STA13; HHZ; -8730947.462457657; -8730947.531292439; 0.0; 0.0
event_000; event_016; STA14; HHZ; -8730947.207242131; -8730947.089259028; 0.0; 0.0
event_000; event_017; STA00; HHZ; -9276631.440735936; -9276631.339565158; 0.0; 0.0
event_000; event_017; STA01; HHZ; -9276631.227398634; -9276630.970064878; 0.0; 0.0
event_000; event_017; STA02; HHZ; -9276621.481939673; -9276621.186939716; 0.0; 0.0
event_000; event_017; STA03; HHZ; -9276631.445555568; -9276631.34791267; 0.0; 0.0
event_000; event_017; STA04; HHZ; -9276631.686432958; -9276631.76511228; 0.0; 0.0
event_000; event_017; STA05; HHZ; -9276635.886058927; -9276635.785531044; 0.0; 0.0
event_000; event_017; STA06; HHZ; -9276631.469401002; -9276631.389213085; 0.0; 0.0
event_000; event_017; STA07; HHZ; -9276658.180427194; -9276658.00428927; 0.0; 0.0
event_000; event_017; STA08; HHZ; -9276631.61470592; -9276631.64088118; 0.0; 0.0
event_000; event_017; STA09; HHZ; -9276631.29722941; -9276631.091011882; 0.0; 0.0
event_000; event_017; STA10; HHZ; -9276631.542473912; -9276631.515775204; 0.0; 0.0
event_000; event_017; STA11; HHZ; -9276631.832159638; -9276632.01751101; 0.0; 0.0
event_000; event_017; STA12; HHZ; -9276631.189915538; -9276630.905144095; 0.0; 0.0
event_000; event_017; STA13; HHZ; -9276631.598801136; -9276631.61333406; 0.0; 0.0
event_000; event_017; STA14; HHZ; -9276631.88222456; -9276632.10422337; 0.0; 0.0
event_000; event_018; STA00; HHZ; -9822315.59629023; -9822315.45488; 0.0; 0.0
event_000; event_018; STA01; HHZ; -9822315.771066785; -9822315.757593036; 0.0; 0.0
event_000; event_018; STA02; HHZ; -9822309.743318796; -9822309.8135705; 0.0; 0.0
event_000; event_018; STA03; HHZ; -9822316.116683125; -9822316.356200337; 0.0; 0.0
event_000; event_018; STA04; HHZ; -9822315.604656696; -9822315.469370604; 0.0; 0.0
event_000; event_018; STA05; HHZ; -9822318.338292837; -9822318.577361703; 0.0; 0.0
event_000; event_018; STA06; HHZ; -9822315.541303873; -9822315.359643579; 0.0; 0.0
event_000; event_018; STA07; HHZ; -9822344.059601665; -9822343.949124932; 0.0; 0.0
event_000; event_018; STA08; HHZ; -9822315.509676576; -9822315.304865003; 0.0; 0.0
event_000; event_018; STA09; HHZ; -9822315.659517288; -9822315.56438911; 0.0; 0.0
event_000; event_018; STA10; HHZ; -9822315.679210305; -9822315.59849739; 0.0; 0.0
event_000; event_018; STA11; HHZ; -9822315.95601499; -9822316.077923298; 0.0; 0.0
event_000; event_018; STA12; HHZ; -9822315.93606615; -9822316.043371916; 0.0; 0.0
event_000; event_018; STA13; HHZ; -9822315.481093168; -9822315.255358696; 0.0; 0.0
event_000; event_018; STA14; HHZ; -9822315.877642393; -9822315.942181826; 0.0; 0.0
event_000; event_019; STA00; HHZ; -10367999.996593714; -10367999.994100451; 0.0; 0.0
event_000; event_019; STA01; HHZ; -10367999.768532872; -10367999.59909904; 0.0; 0.0
event_000; event_019; STA02; HHZ; -10367999.731529832; -10367999.535009503; 0.0; 0.0
event_000; event_019; STA03; HHZ; -10367999.832587957; -10367999.710042477; 0.0; 0.0
event_000; event_019; STA04; HHZ; -10368000.212220192; -10368000.367565274; 0.0; 0.0
event_000; event_019; STA05; HHZ; -10367999.830857873; -10367999.707045794; 0.0; 0.0
event_000; event_019; STA06; HHZ; -10368000.00282526; -10368000.004893303; 0.0; 0.0
event_000; event_019; STA07; HHZ; -10368029.880491495; -10368029.793011189; 0.0; 0.0
event_000; event_019; STA08; HHZ; -10368000.13910532; -10368000.240930319; 0.0; 0.0
event_000; event_019; STA09; HHZ; -10367999.810367107; -10367999.671555758; 0.0; 0.0
event_000; event_019; STA10; HHZ; -10368000.108836532; -10368000.188504815; 0.0; 0.0
event_000; event_019; STA11; HHZ; -10368000.239473462; -10368000.41476798; 0.0; 0.0
event_000; event_019; STA12; HHZ; -10367999.6878891; -10367999.4594239; 0.0; 0.0
event_000; event_019; STA13; HHZ; -10368000.109408617; -10368000.189495683; 0.0; 0.0
event_000; event_019; STA14; HHZ; -10368000.279664397; -10368000.484378576; 0.0; 0.0
event_001; event_002; STA00; HHZ; -545684.276746273; -545684.3252192736; 0.0; 0.0
event_001; event_002; STA01; HHZ; -545684.4323960543; -545684.5948047638; 0.0; 0.0
event_001; event_002; STA02; HHZ; -545687.9618265629; -545688.1078057289; 0.0; 0.0
event_001; event_002; STA03; HHZ; -545684.1796813011; -545684.1571029425; 0.0; 0.0
event_001; event_002; STA04; HHZ; -545684.076910615; -545683.979104042; 0.0; 0.0
event_001; event_002; STA05; HHZ; -545682.5129570961; -545682.490336299; 0.0; 0.0
event_001; event_002; STA06; HHZ; -545684.302810669; -545684.3703628778; 0.0; 0.0
event_001; event_002; STA07; HHZ; -545685.9588470459; -545686.0828284025; 0.0; 0.0
event_001; event_002; STA08; HHZ; -545684.1844129562; -545684.1652979851; 0.0; 0.0
event_001; event_002; STA09; HHZ; -545684.4448230267; -545684.6163282394; 0.0; 0.0
event_001; event_002; STA10; HHZ; -545684.1295009851; -545684.0701906681; 0.0; 0.0
event_001; event_002; STA11; HHZ; -545683.9035776854; -545683.6788913012; 0.0; 0.0
event_001; event_002; STA12; HHZ; -545684.4246230125; -545684.5813417435; 0.0; 0.0
event_001; event_002; STA13; HHZ; -545684.2373539209; -545684.2569916248; 0.0; 0.0
event_001; event_002; STA14; HHZ; -545683.9112752676; -545683.6922237873; 0.0; 0.0
event_001; event_003; STA00; HHZ; -1091368.306547761; -1091368.2227301598; 0.0; 0.0
event_001; event_003; STA01; HHZ; -1091368.4754223824; -1091368.515221119; 0.0; 0.0
event_001; event_003; STA02; HHZ; -1091371.5658694506; -1091371.6604517698; 0.0; 0.0
event_001; event_003; STA03; HHZ; -1091368.6128015518; -1091368.7531619072; 0.0; 0.0
event_001; event_003; STA04; HHZ; -1091368.2522441149; -1091368.1286762953; 0.0; 0.0
event_001; event_003; STA05; HHZ; -1091365.2800451517; -1091365.4208276272; 0.0; 0.0
